Registration Date,Quantity Industry Registration,Sales Type,Manufacturer Description,Month
2021-02-02,197, ,MERCEDES-BENZ                      ,2
2021-02-02,77, ,CHERY,2
2021-02-02,221, ,FORD,2
2021-02-02,23, ,KIA                                ,2
2021-02-02,377, ,NISSAN                             ,2
2021-02-02,36, ,CITROEN                            ,2
2021-02-02,3, ,EFFA MOTORS,2
2021-02-02,4, ,MINI,2
2021-02-02,6, ,DODGE                              ,2
2021-02-02,547, ,TOYOTA                             ,2
2021-02-02,28, ,AUDI                               ,2
2021-02-02,320, ,HONDA                              ,2
2021-02-02,10, ,PORSCHE                            ,2
2021-02-02,380, ,RENAULT                            ,2
2021-02-02,689, ,HYUNDAI                            ,2
2021-02-02,9, ,DAF,2
2021-02-02,15, ,MARCOPOLO,2
2021-02-02,35, ,SCANIA                             ,2
2021-02-02,137, ,PEUGEOT                            ,2
2021-02-02,2, ,FOTON,2
2021-02-02,1, ,FERCAR,2
2021-02-02,2, ,OTHERS,2
2021-02-02,36, ,BMW                             ,2
2021-02-03,1, ,OTHERS,2
2021-02-03,37, ,IVECO                              ,2
2021-02-03,164, ,CHERY,2
2021-02-03,25, ,PORSCHE                            ,2
2021-02-03,670, ,JEEP,2
2021-02-03,34, ,PEUGEOT                            ,2
2021-02-03,594, ,TOYOTA                             ,2
2021-02-03,2, ,FERRARI                            ,2
2021-02-03,226, ,MERCEDES-BENZ                      ,2
2021-02-03,23, ,CITROEN                            ,2
2021-02-03,2, ,FOTON,2
2021-02-03,1, ,LEXUS,2
2021-02-03,33, ,LAND ROVER                         ,2
2021-02-03,2050, ,FIAT                               ,2
2021-02-03,3, ,JAC,2
2021-02-03,66, ,VOLVO                              ,2
2021-02-03,52, ,AUDI                               ,2
2021-02-03,17, ,DAF,2
2021-02-03,2, ,EFFA MOTORS,2
2021-02-03,2, ,AGRALE                             ,2
2021-02-03,4, ,JAGUAR                             ,2
2021-02-03,3, ,TROLLER,2
2021-02-03,726, ,HYUNDAI                            ,2
2021-02-03,39, ,SCANIA                             ,2
2021-02-03,11, ,DODGE                              ,2
2021-02-03,494, ,HONDA                              ,2
2021-02-03,1497, ,GENERAL MOTORS                     ,2
2021-02-03,349, ,NISSAN                             ,2
2021-02-03,1510, ,VOLKSWAGEN                         ,2
2021-02-03,9, ,MAN,2
2021-02-03,21, ,KIA                                ,2
2021-02-03,6, ,MARCOPOLO,2
2021-02-03,54, ,MITSUBISHI                         ,2
2021-02-03,420, ,RENAULT                            ,2
2021-02-03,8, ,SUZUKI                             ,2
2021-02-03,2, ,FERCAR,2
2021-02-03,233, ,FORD,2
2021-02-03,2, ,MINI,2
2021-02-03,30, ,BMW                             ,2
2021-02-04,332, ,RENAULT                            ,2
2021-02-04,1, ,FERCAR,2
2021-02-04,2, ,JAC,2
2021-02-04,20, ,KIA                                ,2
2021-02-04,34, ,IVECO                              ,2
2021-02-04,1253, ,GENERAL MOTORS                     ,2
2021-02-04,4, ,MARCOPOLO,2
2021-02-04,8, ,PORSCHE                            ,2
2021-02-04,308, ,NISSAN                             ,2
2021-02-04,4, ,JAGUAR                             ,2
2021-02-04,4, ,EFFA MOTORS,2
2021-02-04,2, ,FOTON,2
2021-02-04,1, ,SELVAGEM,2
2021-02-04,241, ,MERCEDES-BENZ                      ,2
2021-02-04,29, ,SCANIA                             ,2
2021-02-04,1, ,TESLA MOTORS,2
2021-02-04,32, ,CITROEN                            ,2
2021-02-04,2, ,LEXUS,2
2021-02-04,654, ,TOYOTA                             ,2
2021-02-04,106, ,VOLVO                              ,2
2021-02-04,6, ,MINI,2
2021-02-04,7, ,DODGE                              ,2
2021-02-04,12, ,SUZUKI                             ,2
2021-02-04,481, ,JEEP,2
2021-02-04,47, ,PEUGEOT                            ,2
2021-02-04,1, ,FYBER,2
2021-02-04,219, ,FORD,2
2021-02-04,1686, ,FIAT                               ,2
2021-02-04,63, ,MITSUBISHI                         ,2
2021-02-04,38, ,BMW                             ,2
2021-02-04,42, ,AUDI                               ,2
2021-02-04,1, ,ENGESA                             ,2
2021-02-04,432, ,HONDA                              ,2
2021-02-04,1234, ,VOLKSWAGEN                         ,2
2021-02-04,749, ,HYUNDAI                            ,2
2021-02-04,89, ,CHERY,2
2021-02-04,1, ,TROLLER,2
2021-02-04,2, ,WAKE,2
2021-02-04,26, ,LAND ROVER                         ,2
2021-02-04,7, ,DAF,2
2021-02-05,187, ,FORD,2
2021-02-05,2121, ,FIAT                               ,2
2021-02-05,317, ,NISSAN                             ,2
2021-02-05,59, ,MITSUBISHI                         ,2
2021-02-05,3, ,SUZUKI                             ,2
2021-02-05,1722, ,GENERAL MOTORS                     ,2
2021-02-05,830, ,HYUNDAI                            ,2
2021-02-05,591, ,TOYOTA                             ,2
2021-02-05,436, ,HONDA                              ,2
2021-02-05,39, ,PEUGEOT                            ,2
2021-02-05,8, ,PORSCHE                            ,2
2021-02-05,3, ,TROLLER,2
2021-02-05,238, ,MERCEDES-BENZ                      ,2
2021-02-05,37, ,BMW                             ,2
2021-02-05,12, ,DAF,2
2021-02-05,32, ,LAND ROVER                         ,2
2021-02-05,1, ,AGRALE                             ,2
2021-02-05,43, ,SCANIA                             ,2
2021-02-05,2, ,JAGUAR                             ,2
2021-02-05,1, ,MASERATI                           ,2
2021-02-05,27, ,KIA                                ,2
2021-02-05,44, ,AUDI                               ,2
2021-02-05,1, ,EFFA MOTORS,2
2021-02-05,126, ,VOLVO                              ,2
2021-02-05,13, ,CITROEN                            ,2
2021-02-05,3, ,FERCAR,2
2021-02-05,78, ,CHERY,2
2021-02-05,349, ,RENAULT                            ,2
2021-02-05,6, ,MARCOPOLO,2
2021-02-05,597, ,JEEP,2
2021-02-05,22, ,IVECO                              ,2
2021-02-05,2, ,FOTON,2
2021-02-05,1234, ,VOLKSWAGEN                         ,2
2021-02-05,10, ,DODGE                              ,2
2021-02-05,4, ,MINI,2
2021-02-06,9, ,TOYOTA                             ,2
2021-02-06,5, ,CHERY,2
2021-02-06,3, ,KIA                                ,2
2021-02-06,1, ,SCANIA                             ,2
2021-02-06,7, ,BMW                             ,2
2021-02-06,1, ,OTHERS,2
2021-02-06,36, ,HYUNDAI                            ,2
2021-02-06,61, ,FIAT                               ,2
2021-02-06,2, ,AUDI                               ,2
2021-02-06,22, ,RENAULT                            ,2
2021-02-06,14, ,HONDA                              ,2
2021-02-06,12, ,FORD,2
2021-02-06,8, ,MERCEDES-BENZ                      ,2
2021-02-06,1, ,IVECO                              ,2
2021-02-06,26, ,NISSAN                             ,2
2021-02-06,45, ,GENERAL MOTORS                     ,2
2021-02-06,2, ,PEUGEOT                            ,2
2021-02-06,2, ,CITROEN                            ,2
2021-02-06,1, ,LAND ROVER                         ,2
2021-02-06,86, ,VOLKSWAGEN                         ,2
2021-02-06,22, ,JEEP,2
2021-02-07,4, ,GENERAL MOTORS                     ,2
2021-02-07,1, ,TOYOTA                             ,2
2021-02-07,1, ,MERCEDES-BENZ                      ,2
2021-02-07,8, ,VOLVO                              ,2
2021-02-07,1, ,VOLKSWAGEN                         ,2
2021-02-07,1, ,FIAT                               ,2
2021-02-07,1, ,JEEP,2
2021-02-08,166, ,FORD,2
2021-02-08,1849, ,FIAT                               ,2
2021-02-08,5, ,MINI,2
2021-02-08,34, ,SCANIA                             ,2
2021-02-08,410, ,TOYOTA                             ,2
2021-02-08,27, ,CITROEN                            ,2
2021-02-08,65, ,CHERY,2
2021-02-08,94, ,MITSUBISHI                         ,2
2021-02-08,1, ,EFFA MOTORS,2
2021-02-08,414, ,HONDA                              ,2
2021-02-08,1270, ,GENERAL MOTORS                     ,2
2021-02-08,375, ,RENAULT                            ,2
2021-02-08,186, ,MERCEDES-BENZ                      ,2
2021-02-08,32, ,LAND ROVER                         ,2
2021-02-08,261, ,NISSAN                             ,2
2021-02-08,679, ,HYUNDAI                            ,2
2021-02-08,42, ,AUDI                               ,2
2021-02-08,3, ,LEXUS,2
2021-02-08,51, ,BMW                             ,2
2021-02-08,98, ,VOLVO                              ,2
2021-02-08,1, ,ASA,2
2021-02-08,522, ,JEEP,2
2021-02-08,6, ,SUZUKI                             ,2
2021-02-08,4, ,JAC,2
2021-02-08,8, ,DODGE                              ,2
2021-02-08,8, ,PORSCHE                            ,2
2021-02-08,15, ,KIA                                ,2
2021-02-08,1183, ,VOLKSWAGEN                         ,2
2021-02-08,21, ,PEUGEOT                            ,2
2021-02-08,3, ,OTHERS,2
2021-02-08,37, ,IVECO                              ,2
2021-02-08,12, ,DAF,2
2021-02-08,3, ,JAGUAR                             ,2
2021-02-08,5, ,MARCOPOLO,2
2021-02-08,1, ,FOTON,2
2021-02-09,388, ,HONDA                              ,2
2021-02-09,1714, ,VOLKSWAGEN                         ,2
2021-02-09,267, ,NISSAN                             ,2
2021-02-09,4, ,OTHERS,2
2021-02-09,40, ,AUDI                               ,2
2021-02-09,1587, ,FIAT                               ,2
2021-02-09,508, ,JEEP,2
2021-02-09,23, ,DAF,2
2021-02-09,5, ,DODGE                              ,2
2021-02-09,50, ,SCANIA                             ,2
2021-02-09,7, ,PORSCHE                            ,2
2021-02-09,20, ,KIA                                ,2
2021-02-09,605, ,TOYOTA                             ,2
2021-02-09,521, ,RENAULT                            ,2
2021-02-09,178, ,MERCEDES-BENZ                      ,2
2021-02-09,2, ,LEXUS,2
2021-02-09,3, ,EFFA MOTORS,2
2021-02-09,176, ,FORD,2
2021-02-09,50, ,PEUGEOT                            ,2
2021-02-09,1368, ,GENERAL MOTORS                     ,2
2021-02-09,1, ,JAGUAR                             ,2
2021-02-09,1, ,FOTON,2
2021-02-09,60, ,MITSUBISHI                         ,2
2021-02-09,1, ,FYBER,2
2021-02-09,32, ,IVECO                              ,2
2021-02-09,1, ,MAN,2
2021-02-09,3, ,JAC,2
2021-02-09,3, ,FERCAR,2
2021-02-09,42, ,LAND ROVER                         ,2
2021-02-09,24, ,CITROEN                            ,2
2021-02-09,749, ,HYUNDAI                            ,2
2021-02-09,92, ,CHERY,2
2021-02-09,8, ,MARCOPOLO,2
2021-02-09,4, ,MINI,2
2021-02-09,99, ,VOLVO                              ,2
2021-02-09,10, ,SUZUKI                             ,2
2021-02-09,28, ,BMW                             ,2
2021-02-09,1, ,TESLA MOTORS,2
2021-02-09,2, ,AGRALE                             ,2
2021-02-10,37, ,KIA                                ,2
2021-02-10,6, ,MARCOPOLO,2
2021-02-10,230, ,MERCEDES-BENZ                      ,2
2021-02-10,438, ,RENAULT                            ,2
2021-02-10,43, ,AUDI                               ,2
2021-02-10,2, ,OTHERS,2
2021-02-10,12, ,SUZUKI                             ,2
2021-02-10,1, ,FERCAR,2
2021-02-10,874, ,HYUNDAI                            ,2
2021-02-10,1, ,LEXUS,2
2021-02-10,1662, ,VOLKSWAGEN                         ,2
2021-02-10,42, ,BMW                             ,2
2021-02-10,1, ,SUBARU                             ,2
2021-02-10,44, ,IVECO                              ,2
2021-02-10,1, ,FOTON,2
2021-02-10,26, ,LAND ROVER                         ,2
2021-02-10,493, ,HONDA                              ,2
2021-02-10,1439, ,GENERAL MOTORS                     ,2
2021-02-10,95, ,MITSUBISHI                         ,2
2021-02-10,91, ,CHERY,2
2021-02-10,209, ,FORD,2
2021-02-10,38, ,PEUGEOT                            ,2
2021-02-10,1, ,MINI,2
2021-02-10,38, ,CITROEN                            ,2
2021-02-10,441, ,JEEP,2
2021-02-10,2, ,PORSCHE                            ,2
2021-02-10,1, ,CADILLAC                           ,2
2021-02-10,90, ,VOLVO                              ,2
2021-02-10,42, ,SCANIA                             ,2
2021-02-10,2032, ,FIAT                               ,2
2021-02-10,2, ,EFFA MOTORS,2
2021-02-10,21, ,DAF,2
2021-02-10,4, ,JAC,2
2021-02-10,7, ,DODGE                              ,2
2021-02-10,2, ,TROLLER,2
2021-02-10,2, ,JAGUAR                             ,2
2021-02-10,351, ,NISSAN                             ,2
2021-02-10,540, ,TOYOTA                             ,2
2021-02-11,504, ,RENAULT                            ,2
2021-02-11,93, ,CHERY,2
2021-02-11,11, ,MARCOPOLO,2
2021-02-11,46, ,BMW                             ,2
2021-02-11,1, ,FYBER,2
2021-02-11,196, ,FORD,2
2021-02-11,1666, ,VOLKSWAGEN                         ,2
2021-02-11,1469, ,GENERAL MOTORS                     ,2
2021-02-11,40, ,LAND ROVER                         ,2
2021-02-11,5, ,PORSCHE                            ,2
2021-02-11,8, ,SUZUKI                             ,2
2021-02-11,1, ,FERCAR,2
2021-02-11,467, ,JEEP,2
2021-02-11,197, ,MERCEDES-BENZ                      ,2
2021-02-11,6, ,MINI,2
2021-02-11,63, ,MITSUBISHI                         ,2
2021-02-11,848, ,HYUNDAI                            ,2
2021-02-11,35, ,IVECO                              ,2
2021-02-11,18, ,DAF,2
2021-02-11,46, ,AUDI                               ,2
2021-02-11,59, ,PEUGEOT                            ,2
2021-02-11,2, ,EFFA MOTORS,2
2021-02-11,2, ,BYD,2
2021-02-11,20, ,KIA                                ,2
2021-02-11,36, ,SCANIA                             ,2
2021-02-11,295, ,NISSAN                             ,2
2021-02-11,3, ,TROLLER,2
2021-02-11,8, ,DODGE                              ,2
2021-02-11,483, ,TOYOTA                             ,2
2021-02-11,26, ,CITROEN                            ,2
2021-02-11,1, ,PEIXOTO,2
2021-02-11,5, ,JAC,2
2021-02-11,425, ,HONDA                              ,2
2021-02-11,1945, ,FIAT                               ,2
2021-02-11,2, ,PONTIAC                            ,2
2021-02-11,87, ,VOLVO                              ,2
2021-02-11,1, ,FOTON,2
2021-02-11,2, ,LEXUS,2
2021-02-11,3, ,OTHERS,2
2021-02-12,35, ,AUDI                               ,2
2021-02-12,14, ,KIA                                ,2
2021-02-12,182, ,MERCEDES-BENZ                      ,2
2021-02-12,47, ,IVECO                              ,2
2021-02-12,44, ,BMW                             ,2
2021-02-12,6, ,MINI,2
2021-02-12,6, ,MARCOPOLO,2
2021-02-12,26, ,LAND ROVER                         ,2
2021-02-12,94, ,VOLVO                              ,2
2021-02-12,3, ,JAC,2
2021-02-12,3, ,LEXUS,2
2021-02-12,1, ,PORSCHE                            ,2
2021-02-12,496, ,RENAULT                            ,2
2021-02-12,1, ,TESLA MOTORS,2
2021-02-12,41, ,PEUGEOT                            ,2
2021-02-12,3, ,OTHERS,2
2021-02-12,1, ,AGRALE                             ,2
2021-02-12,451, ,TOYOTA                             ,2
2021-02-12,85, ,CHERY,2
2021-02-12,1355, ,GENERAL MOTORS                     ,2
2021-02-12,1986, ,FIAT                               ,2
2021-02-12,1686, ,VOLKSWAGEN                         ,2
2021-02-12,523, ,JEEP,2
2021-02-12,29, ,DAF,2
2021-02-12,98, ,MITSUBISHI                         ,2
2021-02-12,38, ,SCANIA                             ,2
2021-02-12,196, ,FORD,2
2021-02-12,14, ,SUZUKI                             ,2
2021-02-12,5, ,DODGE                              ,2
2021-02-12,366, ,NISSAN                             ,2
2021-02-12,400, ,HONDA                              ,2
2021-02-12,1, ,TROLLER,2
2021-02-12,1, ,FOTON,2
2021-02-12,831, ,HYUNDAI                            ,2
2021-02-12,26, ,CITROEN                            ,2
2021-02-13,4, ,CHERY,2
2021-02-13,34, ,GENERAL MOTORS                     ,2
2021-02-13,21, ,TOYOTA                             ,2
2021-02-13,7, ,MERCEDES-BENZ                      ,2
2021-02-13,1, ,VOLVO                              ,2
2021-02-13,4, ,NISSAN                             ,2
2021-02-13,1, ,BMW                             ,2
2021-02-13,41, ,FIAT                               ,2
2021-02-13,6, ,RENAULT                            ,2
2021-02-13,8, ,JEEP,2
2021-02-13,1, ,AUDI                               ,2
2021-02-13,69, ,VOLKSWAGEN                         ,2
2021-02-13,21, ,HYUNDAI                            ,2
2021-02-13,1, ,OTHERS,2
2021-02-13,1, ,IVECO                              ,2
2021-02-13,3, ,BYD,2
2021-02-13,8, ,HONDA                              ,2
2021-02-13,1, ,LAND ROVER                         ,2
2021-02-13,2, ,FORD,2
2021-02-14,1, ,TOYOTA                             ,2
2021-02-14,5, ,VOLKSWAGEN                         ,2
2021-02-14,3, ,FIAT                               ,2
2021-02-14,2, ,RENAULT                            ,2
2021-02-14,9, ,HYUNDAI                            ,2
2021-02-15,4, ,SUZUKI                             ,2
2021-02-15,30, ,IVECO                              ,2
2021-02-15,44, ,MITSUBISHI                         ,2
2021-02-15,7, ,CITROEN                            ,2
2021-02-15,951, ,VOLKSWAGEN                         ,2
2021-02-15,196, ,RENAULT                            ,2
2021-02-15,2, ,LEXUS,2
2021-02-15,915, ,FIAT                               ,2
2021-02-15,6, ,KIA                                ,2
2021-02-15,3, ,DODGE                              ,2
2021-02-15,695, ,GENERAL MOTORS                     ,2
2021-02-15,3, ,PORSCHE                            ,2
2021-02-15,14, ,LAND ROVER                         ,2
2021-02-15,8, ,MARCOPOLO,2
2021-02-15,161, ,HONDA                              ,2
2021-02-15,149, ,NISSAN                             ,2
2021-02-15,47, ,CHERY,2
2021-02-15,7, ,DAF,2
2021-02-15,230, ,JEEP,2
2021-02-15,84, ,MERCEDES-BENZ                      ,2
2021-02-15,33, ,VOLVO                              ,2
2021-02-15,1, ,JAC,2
2021-02-15,7, ,SCANIA                             ,2
2021-02-15,183, ,TOYOTA                             ,2
2021-02-15,463, ,HYUNDAI                            ,2
2021-02-15,21, ,PEUGEOT                            ,2
2021-02-15,90, ,FORD,2
2021-02-15,6, ,AUDI                               ,2
2021-02-15,1, ,TROLLER,2
2021-02-15,27, ,BMW                             ,2
2021-02-16,1, ,JAGUAR                             ,2
2021-02-16,5, ,CITROEN                            ,2
2021-02-16,311, ,HYUNDAI                            ,2
2021-02-16,2, ,DODGE                              ,2
2021-02-16,73, ,FORD,2
2021-02-16,746, ,VOLKSWAGEN                         ,2
2021-02-16,70, ,MERCEDES-BENZ                      ,2
2021-02-16,12, ,PEUGEOT                            ,2
2021-02-16,18, ,CHERY,2
2021-02-16,15, ,IVECO                              ,2
2021-02-16,142, ,RENAULT                            ,2
2021-02-16,3, ,TROLLER,2
2021-02-16,14, ,AUDI                               ,2
2021-02-16,7, ,MARCOPOLO,2
2021-02-16,3, ,JAC,2
2021-02-16,11, ,LAND ROVER                         ,2
2021-02-16,16, ,MITSUBISHI                         ,2
2021-02-16,4, ,SCANIA                             ,2
2021-02-16,116, ,NISSAN                             ,2
2021-02-16,164, ,JEEP,2
2021-02-16,189, ,HONDA                              ,2
2021-02-16,7, ,KIA                                ,2
2021-02-16,941, ,FIAT                               ,2
2021-02-16,546, ,GENERAL MOTORS                     ,2
2021-02-16,5, ,DAF,2
2021-02-16,22, ,VOLVO                              ,2
2021-02-16,4, ,PORSCHE                            ,2
2021-02-16,172, ,TOYOTA                             ,2
2021-02-16,1, ,FOTON,2
2021-02-16,3, ,SUZUKI                             ,2
2021-02-16,13, ,BMW                             ,2
2021-02-17,6, ,KIA                                ,2
2021-02-17,324, ,JEEP,2
2021-02-17,29, ,BMW                             ,2
2021-02-17,5, ,DODGE                              ,2
2021-02-17,23, ,PEUGEOT                            ,2
2021-02-17,17, ,DAF,2
2021-02-17,2, ,FERCAR,2
2021-02-17,90, ,FORD,2
2021-02-17,235, ,HONDA                              ,2
2021-02-17,20, ,CITROEN                            ,2
2021-02-17,887, ,VOLKSWAGEN                         ,2
2021-02-17,3, ,EFFA MOTORS,2
2021-02-17,1487, ,FIAT                               ,2
2021-02-17,771, ,GENERAL MOTORS                     ,2
2021-02-17,254, ,RENAULT                            ,2
2021-02-17,252, ,NISSAN                             ,2
2021-02-17,508, ,HYUNDAI                            ,2
2021-02-17,2, ,SUZUKI                             ,2
2021-02-17,17, ,LAND ROVER                         ,2
2021-02-17,60, ,VOLVO                              ,2
2021-02-17,21, ,AUDI                               ,2
2021-02-17,25, ,IVECO                              ,2
2021-02-17,1, ,JAGUAR                             ,2
2021-02-17,4, ,MINI,2
2021-02-17,1, ,TROLLER,2
2021-02-17,96, ,MERCEDES-BENZ                      ,2
2021-02-17,48, ,CHERY,2
2021-02-17,2, ,MAN,2
2021-02-17,56, ,SCANIA                             ,2
2021-02-17,5, ,PORSCHE                            ,2
2021-02-17,251, ,TOYOTA                             ,2
2021-02-17,21, ,MITSUBISHI                         ,2
2021-02-17,19, ,MARCOPOLO,2
2021-02-17,1, ,JAC,2
2021-02-18,99, ,PEUGEOT                            ,2
2021-02-18,96, ,VOLVO                              ,2
2021-02-18,1701, ,VOLKSWAGEN                         ,2
2021-02-18,857, ,HYUNDAI                            ,2
2021-02-18,17, ,IVECO                              ,2
2021-02-18,646, ,JEEP,2
2021-02-18,56, ,BMW                             ,2
2021-02-18,5, ,DODGE                              ,2
2021-02-18,350, ,HONDA                              ,2
2021-02-18,1, ,EFFA MOTORS,2
2021-02-18,172, ,FORD,2
2021-02-18,17, ,KIA                                ,2
2021-02-18,25, ,AUDI                               ,2
2021-02-18,2, ,MINI,2
2021-02-18,18, ,DAF,2
2021-02-18,1, ,FOTON,2
2021-02-18,26, ,CITROEN                            ,2
2021-02-18,4, ,TROLLER,2
2021-02-18,1987, ,FIAT                               ,2
2021-02-18,1, ,JAGUAR                             ,2
2021-02-18,5, ,JAC,2
2021-02-18,184, ,MERCEDES-BENZ                      ,2
2021-02-18,1, ,CHRYSLER                           ,2
2021-02-18,461, ,RENAULT                            ,2
2021-02-18,9, ,PORSCHE                            ,2
2021-02-18,1, ,MAN,2
2021-02-18,50, ,MITSUBISHI                         ,2
2021-02-18,533, ,TOYOTA                             ,2
2021-02-18,3, ,MARCOPOLO,2
2021-02-18,63, ,SCANIA                             ,2
2021-02-18,296, ,NISSAN                             ,2
2021-02-18,1159, ,GENERAL MOTORS                     ,2
2021-02-18,25, ,LAND ROVER                         ,2
2021-02-18,76, ,CHERY,2
2021-02-18,4, ,SUZUKI                             ,2
2021-02-18,1, ,LEXUS,2
2021-02-18,1, ,BYD,2
2021-02-19,104, ,VOLVO                              ,2
2021-02-19,19, ,DAF,2
2021-02-19,518, ,RENAULT                            ,2
2021-02-19,251, ,NISSAN                             ,2
2021-02-19,1, ,AGRALE                             ,2
2021-02-19,564, ,TOYOTA                             ,2
2021-02-19,59, ,BMW                             ,2
2021-02-19,26, ,MARCOPOLO,2
2021-02-19,80, ,SUBARU                             ,2
2021-02-19,1163, ,GENERAL MOTORS                     ,2
2021-02-19,27, ,IVECO                              ,2
2021-02-19,1, ,FERCAR,2
2021-02-19,224, ,MERCEDES-BENZ                      ,2
2021-02-19,31, ,AUDI                               ,2
2021-02-19,50, ,SCANIA                             ,2
2021-02-19,549, ,JEEP,2
2021-02-19,5, ,DODGE                              ,2
2021-02-19,19, ,PORSCHE                            ,2
2021-02-19,22, ,LAND ROVER                         ,2
2021-02-19,326, ,HONDA                              ,2
2021-02-19,169, ,CITROEN                            ,2
2021-02-19,803, ,HYUNDAI                            ,2
2021-02-19,164, ,FORD,2
2021-02-19,2, ,OTHERS,2
2021-02-19,1554, ,VOLKSWAGEN                         ,2
2021-02-19,1540, ,FIAT                               ,2
2021-02-19,40, ,PEUGEOT                            ,2
2021-02-19,5, ,SUZUKI                             ,2
2021-02-19,4, ,LEXUS,2
2021-02-19,1, ,MAN,2
2021-02-19,11, ,KIA                                ,2
2021-02-19,2, ,JAGUAR                             ,2
2021-02-19,84, ,CHERY,2
2021-02-19,6, ,JAC,2
2021-02-19,2, ,EFFA MOTORS,2
2021-02-19,10, ,MINI,2
2021-02-19,1, ,TROLLER,2
2021-02-19,65, ,MITSUBISHI                         ,2
2021-02-20,1, ,KIA                                ,2
2021-02-20,1, ,MINI,2
2021-02-20,56, ,FIAT                               ,2
2021-02-20,17, ,HONDA                              ,2
2021-02-20,1, ,CHERY,2
2021-02-20,1, ,MITSUBISHI                         ,2
2021-02-20,17, ,RENAULT                            ,2
2021-02-20,54, ,GENERAL MOTORS                     ,2
2021-02-20,13, ,TOYOTA                             ,2
2021-02-20,125, ,VOLKSWAGEN                         ,2
2021-02-20,2, ,AUDI                               ,2
2021-02-20,12, ,JEEP,2
2021-02-20,19, ,NISSAN                             ,2
2021-02-20,1, ,DAF,2
2021-02-20,10, ,FORD,2
2021-02-20,48, ,HYUNDAI                            ,2
2021-02-20,1, ,IVECO                              ,2
2021-02-20,3, ,MERCEDES-BENZ                      ,2
2021-02-20,6, ,VOLVO                              ,2
2021-02-21,25, ,VOLKSWAGEN                         ,2
2021-02-21,7, ,FIAT                               ,2
2021-02-21,2, ,SCANIA                             ,2
2021-02-21,9, ,HYUNDAI                            ,2
2021-02-21,1, ,CHERY,2
2021-02-21,2, ,HONDA                              ,2
2021-02-21,4, ,NISSAN                             ,2
2021-02-21,1, ,CITROEN                            ,2
2021-02-22,161, ,FORD,2
2021-02-22,519, ,RENAULT                            ,2
2021-02-22,8, ,SUZUKI                             ,2
2021-02-22,3, ,JAGUAR                             ,2
2021-02-22,1, ,BUGRE,2
2021-02-22,190, ,MERCEDES-BENZ                      ,2
2021-02-22,85, ,VOLVO                              ,2
2021-02-22,17, ,DAF,2
2021-02-22,80, ,CHERY,2
2021-02-22,1, ,AGRALE                             ,2
2021-02-22,24, ,IVECO                              ,2
2021-02-22,2, ,TROLLER,2
2021-02-22,204, ,NISSAN                             ,2
2021-02-22,12, ,KIA                                ,2
2021-02-22,22, ,AUDI                               ,2
2021-02-22,35, ,SCANIA                             ,2
2021-02-22,559, ,JEEP,2
2021-02-22,23, ,LAND ROVER                         ,2
2021-02-22,72, ,MITSUBISHI                         ,2
2021-02-22,2, ,DODGE                              ,2
2021-02-22,10, ,PORSCHE                            ,2
2021-02-22,1, ,FOTON,2
2021-02-22,1433, ,FIAT                               ,2
2021-02-22,54, ,CITROEN                            ,2
