Registration Date;Quantity Industry Registration;Sales Type;Manufacturer Description
2005-01-04 00:00:00;144;;RENAULT                            
2005-01-04 00:00:00;26;;VOLVO                              
2005-01-04 00:00:00;129;;MERCEDES-BENZ                      
2005-01-04 00:00:00;2;;BMW                             
2005-01-04 00:00:00;1;;ALFA ROMEO
2005-01-04 00:00:00;12;;IVECO                              
2005-01-04 00:00:00;64;;CITROEN                            
2005-01-04 00:00:00;20;;AUDI                               
2005-01-04 00:00:00;4;;JEEP
2005-01-05 00:00:00;149;;TOYOTA                             
2005-01-05 00:00:00;25;;SCANIA                             
2005-01-05 00:00:00;201;;RENAULT                            
2005-01-05 00:00:00;377;;GENERAL MOTORS                     
2005-01-05 00:00:00;1128;;FIAT                               
2005-01-05 00:00:00;827;;FORD
2005-01-05 00:00:00;18;;IVECO                              
2005-01-05 00:00:00;9;;BMW                             
2005-01-05 00:00:00;15;;KIA                                
2005-01-05 00:00:00;12;;LAND ROVER                         
2005-01-05 00:00:00;54;;CITROEN                            
2005-01-05 00:00:00;2031;;VOLKSWAGEN                         
2005-01-05 00:00:00;4;;AGRALE                             
2005-01-05 00:00:00;42;;NISSAN                             
2005-01-05 00:00:00;126;;PEUGEOT                            
2005-01-05 00:00:00;17;;AUDI                               
2005-01-05 00:00:00;121;;MERCEDES-BENZ                      
2005-01-05 00:00:00;1;;CHRYSLER                           
2005-01-05 00:00:00;4;;MARCOPOLO
2005-01-05 00:00:00;2;;TROLLER
2005-01-05 00:00:00;67;;MITSUBISHI                         
2005-01-05 00:00:00;4;;HYUNDAI                            
2005-01-05 00:00:00;1;;JEEP
2005-01-05 00:00:00;1;;BEACH
2005-01-05 00:00:00;34;;VOLVO                              
2005-01-05 00:00:00;198;;HONDA                              
2005-01-06 00:00:00;23;;VOLVO                              
2005-01-06 00:00:00;32;;SCANIA                             
2005-01-06 00:00:00;178;;MERCEDES-BENZ                      
2005-01-06 00:00:00;3;;CHRYSLER                           
2005-01-06 00:00:00;8;;MARCOPOLO
2005-01-06 00:00:00;1;;BRM
2005-01-06 00:00:00;7;;LAND ROVER                         
2005-01-06 00:00:00;62;;CITROEN                            
2005-01-06 00:00:00;2;;MINI
2005-01-06 00:00:00;50;;NISSAN                             
2005-01-06 00:00:00;3;;BEACH
2005-01-06 00:00:00;23;;AUDI                               
2005-01-06 00:00:00;159;;TOYOTA                             
2005-01-06 00:00:00;119;;PEUGEOT                            
2005-01-06 00:00:00;14;;AGRALE                             
2005-01-06 00:00:00;4;;BMW                             
2005-01-06 00:00:00;1;;HYUNDAI                            
2005-01-06 00:00:00;578;;GENERAL MOTORS                     
2005-01-06 00:00:00;1438;;FIAT                               
2005-01-06 00:00:00;11;;IVECO                              
2005-01-06 00:00:00;209;;RENAULT                            
2005-01-06 00:00:00;1679;;VOLKSWAGEN                         
2005-01-06 00:00:00;20;;KIA                                
2005-01-06 00:00:00;3;;CROSSLANDER
2005-01-06 00:00:00;200;;HONDA                              
2005-01-06 00:00:00;823;;FORD
2005-01-06 00:00:00;3;;TROLLER
2005-01-06 00:00:00;1;;JEEP
2005-01-06 00:00:00;90;;MITSUBISHI                         
2005-01-07 00:00:00;24;;AUDI                               
2005-01-07 00:00:00;1;;FERRARI                            
2005-01-07 00:00:00;8;;TROLLER
2005-01-07 00:00:00;16;;KIA                                
2005-01-07 00:00:00;207;;RENAULT                            
2005-01-07 00:00:00;56;;NISSAN                             
2005-01-07 00:00:00;3;;BRM
2005-01-07 00:00:00;74;;MITSUBISHI                         
2005-01-07 00:00:00;6;;LAND ROVER                         
2005-01-07 00:00:00;72;;CITROEN                            
2005-01-07 00:00:00;1;;JAGUAR                             
2005-01-07 00:00:00;3;;BMW                             
2005-01-07 00:00:00;124;;PEUGEOT                            
2005-01-07 00:00:00;2;;CHRYSLER                           
2005-01-07 00:00:00;153;;TOYOTA                             
2005-01-07 00:00:00;7;;MARCOPOLO
2005-01-07 00:00:00;870;;FORD
2005-01-07 00:00:00;1321;;FIAT                               
2005-01-07 00:00:00;616;;GENERAL MOTORS                     
2005-01-07 00:00:00;16;;IVECO                              
2005-01-07 00:00:00;4;;HYUNDAI                            
2005-01-07 00:00:00;230;;HONDA                              
2005-01-07 00:00:00;30;;VOLVO                              
2005-01-07 00:00:00;1;;SUBARU                             
2005-01-07 00:00:00;1879;;VOLKSWAGEN                         
2005-01-07 00:00:00;161;;MERCEDES-BENZ                      
2005-01-07 00:00:00;2;;JEEP
2005-01-07 00:00:00;8;;AGRALE                             
2005-01-07 00:00:00;20;;SCANIA                             
2005-01-07 00:00:00;1;;BEACH
2005-01-08 00:00:00;2;;CITROEN                            
2005-01-08 00:00:00;2;;RENAULT                            
2005-01-08 00:00:00;1;;PEUGEOT                            
2005-01-08 00:00:00;1;;HONDA                              
2005-01-08 00:00:00;15;;FORD
2005-01-08 00:00:00;1;;MARCOPOLO
2005-01-08 00:00:00;31;;FIAT                               
2005-01-08 00:00:00;5;;TOYOTA                             
2005-01-08 00:00:00;2;;MERCEDES-BENZ                      
2005-01-08 00:00:00;17;;GENERAL MOTORS                     
2005-01-08 00:00:00;17;;VOLKSWAGEN                         
2005-01-09 00:00:00;2;;VOLKSWAGEN                         
2005-01-09 00:00:00;1;;FIAT                               
2005-01-09 00:00:00;5;;MERCEDES-BENZ                      
2005-01-10 00:00:00;602;;FORD
2005-01-10 00:00:00;27;;NISSAN                             
2005-01-10 00:00:00;3;;BMW                             
2005-01-10 00:00:00;1;;CHRYSLER                           
2005-01-10 00:00:00;163;;RENAULT                            
2005-01-10 00:00:00;8;;MARCOPOLO
2005-01-10 00:00:00;14;;IVECO                              
2005-01-10 00:00:00;1128;;VOLKSWAGEN                         
2005-01-10 00:00:00;13;;AUDI                               
2005-01-10 00:00:00;75;;PEUGEOT                            
2005-01-10 00:00:00;1;;FIBRAVAN
2005-01-10 00:00:00;98;;TOYOTA                             
2005-01-10 00:00:00;1;;AGRALE                             
2005-01-10 00:00:00;105;;MERCEDES-BENZ                      
2005-01-10 00:00:00;551;;GENERAL MOTORS                     
2005-01-10 00:00:00;49;;MITSUBISHI                         
2005-01-10 00:00:00;4;;LAND ROVER                         
2005-01-10 00:00:00;13;;SCANIA                             
2005-01-10 00:00:00;1;;HYUNDAI                            
2005-01-10 00:00:00;946;;FIAT                               
2005-01-10 00:00:00;39;;CITROEN                            
2005-01-10 00:00:00;131;;HONDA                              
2005-01-10 00:00:00;7;;KIA                                
2005-01-10 00:00:00;13;;VOLVO                              
2005-01-11 00:00:00;70;;CITROEN                            
2005-01-11 00:00:00;6;;BMW                             
2005-01-11 00:00:00;1;;PORSCHE                            
2005-01-11 00:00:00;1;;FYBER
2005-01-11 00:00:00;20;;VOLVO                              
2005-01-11 00:00:00;5;;HYUNDAI                            
2005-01-11 00:00:00;173;;HONDA                              
2005-01-11 00:00:00;6;;AGRALE                             
2005-01-11 00:00:00;1;;INFINITI
2005-01-11 00:00:00;81;;PEUGEOT                            
2005-01-11 00:00:00;107;;TOYOTA                             
2005-01-11 00:00:00;1;;CROSSLANDER
2005-01-11 00:00:00;100;;MERCEDES-BENZ                      
2005-01-11 00:00:00;18;;SCANIA                             
2005-01-11 00:00:00;15;;AUDI                               
2005-01-11 00:00:00;104;;RENAULT                            
2005-01-11 00:00:00;1;;LAND ROVER                         
2005-01-11 00:00:00;1;;CHRYSLER                           
2005-01-11 00:00:00;20;;IVECO                              
2005-01-11 00:00:00;2;;TROLLER
2005-01-11 00:00:00;1161;;FIAT                               
2005-01-11 00:00:00;1281;;VOLKSWAGEN                         
2005-01-11 00:00:00;685;;GENERAL MOTORS                     
2005-01-11 00:00:00;34;;NISSAN                             
2005-01-11 00:00:00;62;;MITSUBISHI                         
2005-01-11 00:00:00;3;;MARCOPOLO
2005-01-11 00:00:00;7;;KIA                                
2005-01-11 00:00:00;798;;FORD
2005-01-12 00:00:00;722;;GENERAL MOTORS                     
2005-01-12 00:00:00;5;;AGRALE                             
2005-01-12 00:00:00;797;;FORD
2005-01-12 00:00:00;1;;ALFA ROMEO
2005-01-12 00:00:00;3;;TROLLER
2005-01-12 00:00:00;16;;IVECO                              
2005-01-12 00:00:00;1427;;VOLKSWAGEN                         
2005-01-12 00:00:00;3;;BMW                             
2005-01-12 00:00:00;75;;PEUGEOT                            
2005-01-12 00:00:00;23;;SCANIA                             
2005-01-12 00:00:00;61;;MITSUBISHI                         
2005-01-12 00:00:00;24;;VOLVO                              
2005-01-12 00:00:00;1076;;FIAT                               
2005-01-12 00:00:00;154;;MERCEDES-BENZ                      
2005-01-12 00:00:00;1;;CHRYSLER                           
2005-01-12 00:00:00;28;;NISSAN                             
2005-01-12 00:00:00;199;;HONDA                              
2005-01-12 00:00:00;17;;AUDI                               
2005-01-12 00:00:00;9;;MARCOPOLO
2005-01-12 00:00:00;164;;RENAULT                            
2005-01-12 00:00:00;118;;TOYOTA                             
2005-01-12 00:00:00;78;;CITROEN                            
2005-01-12 00:00:00;9;;KIA                                
2005-01-12 00:00:00;7;;LAND ROVER                         
2005-01-12 00:00:00;1;;FERRARI                            
2005-01-12 00:00:00;1;;BRM
2005-01-12 00:00:00;8;;HYUNDAI                            
2005-01-13 00:00:00;1;;CHRYSLER                           
2005-01-13 00:00:00;1;;SSANGYONG
2005-01-13 00:00:00;3;;AGRALE                             
2005-01-13 00:00:00;11;;KIA                                
2005-01-13 00:00:00;1;;SUBARU                             
2005-01-13 00:00:00;17;;AUDI                               
2005-01-13 00:00:00;1;;FERRARI                            
2005-01-13 00:00:00;5;;MARCOPOLO
2005-01-13 00:00:00;92;;MITSUBISHI                         
2005-01-13 00:00:00;1;;ALFA ROMEO
2005-01-13 00:00:00;187;;RENAULT                            
2005-01-13 00:00:00;29;;SCANIA                             
2005-01-13 00:00:00;8;;BMW                             
2005-01-13 00:00:00;226;;HONDA                              
2005-01-13 00:00:00;43;;NISSAN                             
2005-01-13 00:00:00;1;;BRM
2005-01-13 00:00:00;836;;GENERAL MOTORS                     
2005-01-13 00:00:00;1;;MASERATI                           
2005-01-13 00:00:00;4;;HYUNDAI                            
2005-01-13 00:00:00;71;;CITROEN                            
2005-01-13 00:00:00;1124;;FIAT                               
2005-01-13 00:00:00;17;;IVECO                              
2005-01-13 00:00:00;2;;TROLLER
2005-01-13 00:00:00;40;;VOLVO                              
2005-01-13 00:00:00;124;;MERCEDES-BENZ                      
2005-01-13 00:00:00;1;;BEACH
2005-01-13 00:00:00;826;;FORD
2005-01-13 00:00:00;73;;PEUGEOT                            
2005-01-13 00:00:00;4;;LAND ROVER                         
2005-01-13 00:00:00;103;;TOYOTA                             
2005-01-13 00:00:00;2;;JEEP
2005-01-13 00:00:00;1217;;VOLKSWAGEN                         
2005-01-14 00:00:00;1201;;FIAT                               
2005-01-14 00:00:00;17;;AUDI                               
2005-01-14 00:00:00;22;;IVECO                              
2005-01-14 00:00:00;71;;MITSUBISHI                         
2005-01-14 00:00:00;3;;CHRYSLER                           
2005-01-14 00:00:00;107;;TOYOTA                             
2005-01-14 00:00:00;18;;KIA                                
2005-01-14 00:00:00;172;;MERCEDES-BENZ                      
2005-01-14 00:00:00;1431;;VOLKSWAGEN                         
2005-01-14 00:00:00;54;;SCANIA                             
2005-01-14 00:00:00;259;;PEUGEOT                            
2005-01-14 00:00:00;872;;GENERAL MOTORS                     
2005-01-14 00:00:00;6;;HYUNDAI                            
2005-01-14 00:00:00;77;;CITROEN                            
2005-01-14 00:00:00;895;;FORD
2005-01-14 00:00:00;24;;VOLVO                              
2005-01-14 00:00:00;1;;FERRARI                            
2005-01-14 00:00:00;4;;LAND ROVER                         
2005-01-14 00:00:00;2;;SEAT
2005-01-14 00:00:00;3;;TROLLER
2005-01-14 00:00:00;4;;AGRALE                             
2005-01-14 00:00:00;4;;BMW                             
2005-01-14 00:00:00;2;;BRM
2005-01-14 00:00:00;181;;RENAULT                            
2005-01-14 00:00:00;6;;MARCOPOLO
2005-01-14 00:00:00;205;;HONDA                              
2005-01-14 00:00:00;44;;NISSAN                             
2005-01-14 00:00:00;1;;JEEP
2005-01-14 00:00:00;2;;BUGRE
2005-01-15 00:00:00;16;;GENERAL MOTORS                     
2005-01-15 00:00:00;6;;RENAULT                            
2005-01-15 00:00:00;1;;MITSUBISHI                         
2005-01-15 00:00:00;21;;FORD
2005-01-15 00:00:00;1;;HYUNDAI                            
2005-01-15 00:00:00;8;;HONDA                              
2005-01-15 00:00:00;27;;VOLKSWAGEN                         
2005-01-15 00:00:00;8;;PEUGEOT                            
2005-01-15 00:00:00;31;;FIAT                               
2005-01-15 00:00:00;1;;MARCOPOLO
2005-01-15 00:00:00;3;;CITROEN                            
2005-01-15 00:00:00;1;;MERCEDES-BENZ                      
2005-01-15 00:00:00;1;;AUDI                               
2005-01-16 00:00:00;12;;MERCEDES-BENZ                      
2005-01-16 00:00:00;1;;VOLKSWAGEN                         
2005-01-17 00:00:00;613;;FORD
2005-01-17 00:00:00;11;;AGRALE                             
2005-01-17 00:00:00;1;;BEACH
2005-01-17 00:00:00;142;;RENAULT                            
2005-01-17 00:00:00;1;;BMW                             
2005-01-17 00:00:00;2;;TROLLER
2005-01-17 00:00:00;48;;MITSUBISHI                         
2005-01-17 00:00:00;1;;CHRYSLER                           
2005-01-17 00:00:00;845;;FIAT                               
2005-01-17 00:00:00;201;;PEUGEOT                            
2005-01-17 00:00:00;12;;IVECO                              
2005-01-17 00:00:00;2;;BRM
2005-01-17 00:00:00;18;;VOLVO                              
2005-01-17 00:00:00;6;;HYUNDAI                            
2005-01-17 00:00:00;6;;LAND ROVER                         
2005-01-17 00:00:00;25;;AUDI                               
2005-01-17 00:00:00;1;;JEEP
2005-01-17 00:00:00;134;;HONDA                              
2005-01-17 00:00:00;978;;VOLKSWAGEN                         
2005-01-17 00:00:00;64;;TOYOTA                             
2005-01-17 00:00:00;1;;CROSSLANDER
2005-01-17 00:00:00;8;;KIA                                
2005-01-17 00:00:00;110;;MERCEDES-BENZ                      
2005-01-17 00:00:00;28;;SCANIA                             
2005-01-17 00:00:00;2;;MARCOPOLO
2005-01-17 00:00:00;618;;GENERAL MOTORS                     
2005-01-17 00:00:00;47;;CITROEN                            
2005-01-17 00:00:00;2;;PORSCHE                            
2005-01-17 00:00:00;28;;NISSAN                             
2005-01-18 00:00:00;189;;RENAULT                            
2005-01-18 00:00:00;223;;HONDA                              
2005-01-18 00:00:00;168;;PEUGEOT                            
2005-01-18 00:00:00;50;;MITSUBISHI                         
2005-01-18 00:00:00;16;;IVECO                              
2005-01-18 00:00:00;1;;SMART
2005-01-18 00:00:00;4;;LAND ROVER                         
2005-01-18 00:00:00;4;;HYUNDAI                            
2005-01-18 00:00:00;98;;MERCEDES-BENZ                      
2005-01-18 00:00:00;1218;;VOLKSWAGEN                         
2005-01-18 00:00:00;1;;CHRYSLER                           
2005-01-18 00:00:00;57;;NISSAN                             
2005-01-18 00:00:00;1;;BRM
2005-01-18 00:00:00;1134;;FIAT                               
2005-01-18 00:00:00;13;;SCANIA                             
2005-01-18 00:00:00;710;;FORD
2005-01-18 00:00:00;79;;TOYOTA                             
2005-01-18 00:00:00;3;;AGRALE                             
2005-01-18 00:00:00;52;;CITROEN                            
2005-01-18 00:00:00;20;;AUDI                               
2005-01-18 00:00:00;9;;KIA                                
2005-01-18 00:00:00;1;;PORSCHE                            
2005-01-18 00:00:00;4;;TROLLER
2005-01-18 00:00:00;1;;BEACH
2005-01-18 00:00:00;915;;GENERAL MOTORS                     
2005-01-18 00:00:00;27;;VOLVO                              
2005-01-18 00:00:00;2;;BMW                             
2005-01-18 00:00:00;4;;MARCOPOLO
2005-01-19 00:00:00;40;;NISSAN                             
2005-01-19 00:00:00;208;;HONDA                              
2005-01-19 00:00:00;145;;PEUGEOT                            
2005-01-19 00:00:00;1;;INFINITI
2005-01-19 00:00:00;1223;;FIAT                               
2005-01-19 00:00:00;13;;SCANIA                             
2005-01-19 00:00:00;9;;HYUNDAI                            
2005-01-19 00:00:00;2;;CHRYSLER                           
2005-01-19 00:00:00;5;;LAND ROVER                         
2005-01-19 00:00:00;64;;CITROEN                            
2005-01-19 00:00:00;968;;GENERAL MOTORS                     
2005-01-19 00:00:00;14;;AUDI                               
2005-01-19 00:00:00;5;;AGRALE                             
2005-01-19 00:00:00;2;;TROLLER
2005-01-19 00:00:00;8;;VOLVO                              
2005-01-19 00:00:00;1;;LEXUS
2005-01-19 00:00:00;1;;BEACH
2005-01-19 00:00:00;60;;MITSUBISHI                         
2005-01-19 00:00:00;8;;BMW                             
2005-01-19 00:00:00;1;;JAGUAR                             
2005-01-19 00:00:00;2;;JEEP
2005-01-19 00:00:00;23;;IVECO                              
2005-01-19 00:00:00;86;;TOYOTA                             
2005-01-19 00:00:00;3;;MARCOPOLO
2005-01-19 00:00:00;1469;;VOLKSWAGEN                         
2005-01-19 00:00:00;97;;MERCEDES-BENZ                      
2005-01-19 00:00:00;197;;RENAULT                            
2005-01-19 00:00:00;3;;BRM
2005-01-19 00:00:00;11;;KIA                                
2005-01-19 00:00:00;1;;FERCAR
2005-01-19 00:00:00;864;;FORD
2005-01-19 00:00:00;2;;PORSCHE                            
2005-01-20 00:00:00;1;;LEXUS
2005-01-20 00:00:00;27;;VOLVO                              
2005-01-20 00:00:00;842;;GENERAL MOTORS                     
2005-01-20 00:00:00;1;;FYBER
2005-01-20 00:00:00;5;;MARCOPOLO
2005-01-20 00:00:00;1257;;VOLKSWAGEN                         
2005-01-20 00:00:00;4;;DODGE                              
2005-01-20 00:00:00;210;;HONDA                              
2005-01-20 00:00:00;11;;SCANIA                             
2005-01-20 00:00:00;61;;MITSUBISHI                         
2005-01-20 00:00:00;90;;TOYOTA                             
2005-01-20 00:00:00;10;;IVECO                              
2005-01-20 00:00:00;5;;HYUNDAI                            
2005-01-20 00:00:00;1;;BRM
2005-01-20 00:00:00;6;;TROLLER
2005-01-20 00:00:00;119;;PEUGEOT                            
2005-01-20 00:00:00;1149;;FIAT                               
2005-01-20 00:00:00;6;;AGRALE                             
2005-01-20 00:00:00;1;;CHRYSLER                           
2005-01-20 00:00:00;868;;FORD
2005-01-20 00:00:00;4;;BMW                             
2005-01-20 00:00:00;14;;AUDI                               
2005-01-20 00:00:00;1;;JAGUAR                             
2005-01-20 00:00:00;28;;NISSAN                             
2005-01-20 00:00:00;196;;RENAULT                            
2005-01-20 00:00:00;16;;KIA                                
2005-01-20 00:00:00;62;;CITROEN                            
2005-01-20 00:00:00;3;;LAND ROVER                         
2005-01-20 00:00:00;126;;MERCEDES-BENZ                      
2005-01-21 00:00:00;19;;KIA                                
2005-01-21 00:00:00;180;;PEUGEOT                            
2005-01-21 00:00:00;2;;BRM
2005-01-21 00:00:00;23;;VOLVO                              
2005-01-21 00:00:00;186;;RENAULT                            
2005-01-21 00:00:00;1;;SSANGYONG
2005-01-21 00:00:00;101;;TOYOTA                             
2005-01-21 00:00:00;18;;SCANIA                             
2005-01-21 00:00:00;87;;CITROEN                            
2005-01-21 00:00:00;2;;BEACH
2005-01-21 00:00:00;2;;JEEP
2005-01-21 00:00:00;153;;MERCEDES-BENZ                      
2005-01-21 00:00:00;8;;BMW                             
2005-01-21 00:00:00;236;;HONDA                              
2005-01-21 00:00:00;939;;FORD
2005-01-21 00:00:00;25;;IVECO                              
2005-01-21 00:00:00;1311;;VOLKSWAGEN                         
2005-01-21 00:00:00;983;;GENERAL MOTORS                     
2005-01-21 00:00:00;4;;AGRALE                             
2005-01-21 00:00:00;3;;TROLLER
2005-01-21 00:00:00;1378;;FIAT                               
2005-01-21 00:00:00;1;;DODGE                              
2005-01-21 00:00:00;7;;MARCOPOLO
2005-01-21 00:00:00;85;;MITSUBISHI                         
2005-01-21 00:00:00;7;;HYUNDAI                            
2005-01-21 00:00:00;19;;AUDI                               
2005-01-21 00:00:00;1;;LAND ROVER                         
2005-01-21 00:00:00;139;;NISSAN                             
2005-01-21 00:00:00;3;;CHRYSLER                           
2005-01-22 00:00:00;27;;VOLKSWAGEN                         
2005-01-22 00:00:00;4;;TOYOTA                             
2005-01-22 00:00:00;11;;MERCEDES-BENZ                      
2005-01-22 00:00:00;1;;MITSUBISHI                         
2005-01-22 00:00:00;6;;RENAULT                            
2005-01-22 00:00:00;1;;PEUGEOT                            
2005-01-22 00:00:00;1;;CITROEN                            
2005-01-22 00:00:00;2;;HONDA                              
2005-01-22 00:00:00;12;;GENERAL MOTORS                     
2005-01-22 00:00:00;15;;FORD
2005-01-22 00:00:00;25;;FIAT                               
2005-01-23 00:00:00;1;;VOLKSWAGEN                         
2005-01-23 00:00:00;1;;GENERAL MOTORS                     
2005-01-24 00:00:00;91;;TOYOTA                             
2005-01-24 00:00:00;3;;MARCOPOLO
2005-01-24 00:00:00;1;;MINI
2005-01-24 00:00:00;6;;TROLLER
2005-01-24 00:00:00;12;;IVECO                              
2005-01-24 00:00:00;983;;VOLKSWAGEN                         
2005-01-24 00:00:00;103;;PEUGEOT                            
2005-01-24 00:00:00;29;;NISSAN                             
2005-01-24 00:00:00;50;;MITSUBISHI                         
2005-01-24 00:00:00;1;;CHRYSLER                           
2005-01-24 00:00:00;2;;BRM
2005-01-24 00:00:00;13;;AUDI                               
2005-01-24 00:00:00;715;;GENERAL MOTORS                     
2005-01-24 00:00:00;11;;SCANIA                             
2005-01-24 00:00:00;6;;LAND ROVER                         
2005-01-24 00:00:00;7;;HYUNDAI                            
2005-01-24 00:00:00;174;;HONDA                              
2005-01-24 00:00:00;47;;CITROEN                            
2005-01-24 00:00:00;158;;RENAULT                            
2005-01-24 00:00:00;567;;FORD
2005-01-24 00:00:00;96;;MERCEDES-BENZ                      
2005-01-24 00:00:00;10;;KIA                                
2005-01-24 00:00:00;3;;BMW                             
2005-01-24 00:00:00;1061;;FIAT                               
2005-01-24 00:00:00;14;;AGRALE                             
2005-01-24 00:00:00;15;;VOLVO                              
2005-01-25 00:00:00;12;;IVECO                              
2005-01-25 00:00:00;47;;MITSUBISHI                         
2005-01-25 00:00:00;13;;KIA                                
2005-01-25 00:00:00;17;;VOLVO                              
2005-01-25 00:00:00;1021;;VOLKSWAGEN                         
2005-01-25 00:00:00;2;;TROLLER
2005-01-25 00:00:00;212;;RENAULT                            
2005-01-25 00:00:00;162;;HONDA                              
2005-01-25 00:00:00;4;;MARCOPOLO
2005-01-25 00:00:00;27;;NISSAN                             
2005-01-25 00:00:00;4;;HYUNDAI                            
2005-01-25 00:00:00;1;;SUBARU                             
2005-01-25 00:00:00;2;;JEEP
2005-01-25 00:00:00;152;;MERCEDES-BENZ                      
2005-01-25 00:00:00;3;;BMW                             
2005-01-25 00:00:00;749;;GENERAL MOTORS                     
2005-01-25 00:00:00;89;;TOYOTA                             
2005-01-25 00:00:00;101;;PEUGEOT                            
2005-01-25 00:00:00;1093;;FIAT                               
2005-01-25 00:00:00;20;;SCANIA                             
2005-01-25 00:00:00;52;;CITROEN                            
2005-01-25 00:00:00;694;;FORD
2005-01-25 00:00:00;1;;CHRYSLER                           
2005-01-25 00:00:00;1;;LAND ROVER                         
2005-01-25 00:00:00;1;;DODGE                              
2005-01-25 00:00:00;2;;BEACH
2005-01-25 00:00:00;8;;AUDI                               
2005-01-26 00:00:00;1273;;FIAT                               
2005-01-26 00:00:00;244;;HONDA                              
2005-01-26 00:00:00;1;;BUGRE
2005-01-26 00:00:00;7;;AUDI                               
2005-01-26 00:00:00;12;;KIA                                
2005-01-26 00:00:00;21;;VOLVO                              
2005-01-26 00:00:00;100;;PEUGEOT                            
2005-01-26 00:00:00;1;;BEACH
2005-01-26 00:00:00;4;;TROLLER
2005-01-26 00:00:00;787;;GENERAL MOTORS                     
2005-01-26 00:00:00;1;;CHRYSLER                           
2005-01-26 00:00:00;5;;LAND ROVER                         
2005-01-26 00:00:00;1;;PORSCHE                            
2005-01-26 00:00:00;2;;BMW                             
2005-01-26 00:00:00;4;;HYUNDAI                            
2005-01-26 00:00:00;15;;IVECO                              
2005-01-26 00:00:00;115;;TOYOTA                             
2005-01-26 00:00:00;812;;FORD
2005-01-26 00:00:00;44;;MITSUBISHI                         
2005-01-26 00:00:00;1;;AGRALE                             
2005-01-26 00:00:00;103;;MERCEDES-BENZ                      
2005-01-26 00:00:00;34;;SCANIA                             
2005-01-26 00:00:00;1180;;VOLKSWAGEN                         
2005-01-26 00:00:00;177;;RENAULT                            
2005-01-26 00:00:00;1;;SSANGYONG
2005-01-26 00:00:00;63;;CITROEN                            
2005-01-26 00:00:00;48;;NISSAN                             
2005-01-26 00:00:00;7;;MARCOPOLO
2005-01-27 00:00:00;916;;GENERAL MOTORS                     
2005-01-27 00:00:00;10;;HYUNDAI                            
2005-01-27 00:00:00;47;;NISSAN                             
2005-01-27 00:00:00;120;;MERCEDES-BENZ                      
2005-01-27 00:00:00;1257;;VOLKSWAGEN                         
2005-01-27 00:00:00;856;;FORD
2005-01-27 00:00:00;5;;BMW                             
2005-01-27 00:00:00;10;;AGRALE                             
2005-01-27 00:00:00;24;;VOLVO                              
2005-01-27 00:00:00;144;;PEUGEOT                            
2005-01-27 00:00:00;1;;PORSCHE                            
2005-01-27 00:00:00;6;;TROLLER
2005-01-27 00:00:00;3;;LAND ROVER                         
2005-01-27 00:00:00;1;;BEACH
2005-01-27 00:00:00;1255;;FIAT                               
2005-01-27 00:00:00;1;;CHRYSLER                           
2005-01-27 00:00:00;23;;AUDI                               
2005-01-27 00:00:00;66;;CITROEN                            
2005-01-27 00:00:00;76;;MITSUBISHI                         
2005-01-27 00:00:00;270;;HONDA                              
2005-01-27 00:00:00;6;;MARCOPOLO
2005-01-27 00:00:00;174;;RENAULT                            
